"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"777","ob_109470","2022",-109.068,44.525,TRUE,"Park County",NA,"Wyoming","Aquila chrysaetos",TRUE
"778","ob_109467","2022",-73.756,42.652,TRUE,"Albany County",NA,"New York","Falco columbarius",TRUE
"779","ob_109471","2022",-135.334,57.052,TRUE,"Sitka Borough",NA,"Alaska","Larus thayeri",TRUE
"780","ob_109468","2022",-75.911,43.975,TRUE,"Jefferson County",NA,"New York","Bonasa umbellus",TRUE
"781","ob_109609","2022",-97.137,43.393,TRUE,"Turner County",NA,"South Dakota","Birds",FALSE
"782","ob_109559","2022",-117.166,32.717,TRUE,"San Diego County",NA,"California","Plegadis chihi",TRUE
"783","ob_109559","2022",-117.166,32.717,TRUE,"San Diego County",NA,"California","Egretta thula",TRUE
"784","ob_109559","2022",-117.166,32.717,TRUE,"San Diego County",NA,"California","Ardeidae (incognita)",TRUE
"785","ob_109557","2022",-112.108,33.462,TRUE,"Maricopa County",NA,"Arizona","Rhea americana",TRUE
"786","ob_109606","2022",-80.143,26.118,TRUE,"Broward County",NA,"Florida","Birds",FALSE
"787","ob_109598","2022",-86.777,36.168,TRUE,"Davidson County",NA,"Tennessee","Birds",FALSE
"788","ob_109604","2022",-99.334,43.808,TRUE,"Brule County",NA,"South Dakota","Birds",FALSE
"789","ob_109603","2022",-122.817,45.852,TRUE,"Columbia County",NA,"Oregon","Birds",FALSE
"790","ob_109602","2022",-78.901,35.994,TRUE,"Durham County",NA,"North Carolina","Birds",FALSE
"791","ob_109601","2022",-149.108,61.603,TRUE,"Matanuska-Susitna Borough",NA,"Alaska","Birds",FALSE
"792","ob_109464","2022",-98.211,44.342,TRUE,"Beadle County",NA,"South Dakota","Birds",FALSE
"793","ob_109460","2022",-99.124,45.039,TRUE,"Faulk County",NA,"South Dakota","Birds",FALSE
"794","ob_109463","2022",-98.213,44.384,TRUE,"Beadle County",NA,"South Dakota","Birds",FALSE
"795","ob_109450","2022",-99.019,45.446,TRUE,"Edmunds County",NA,"South Dakota","Birds",FALSE
"796","ob_109458","2022",-92.9209,37.3366,TRUE,"Webster County",NA,"Missouri","Birds",FALSE
"797","ob_109451","2022",-98.172,44.37,TRUE,"Beadle County",NA,"South Dakota","Birds",FALSE
"798","ob_109457","2022",-94.868,45.979,TRUE,"Todd County",NA,"Minnesota","Birds",FALSE
"799","ob_109538","2022",-92.921,37.336,TRUE,"Webster County",NA,"Missouri","Birds",FALSE
"800","ob_109608","2022",-98.513,44.883,TRUE,"Spink County",NA,"South Dakota","Birds",FALSE
"801","ob_109616","2022",-112.826,37.855,TRUE,"Iron County",NA,"Utah","Birds",FALSE
"802","ob_109617","2022",-98.523,44.864,TRUE,"Spink County",NA,"South Dakota","Birds",FALSE
"803","ob_109618","2022",-97.786,43.664,TRUE,"Hanson County",NA,"South Dakota","Birds",FALSE
"804","ob_109466","2022",-96.705,42.558,TRUE,"Dixon County",NA,"Nebraska","Birds",FALSE
"805","ob_109841","2022",-97.208,44.653,FALSE,"Hamlin County",NA,"South Dakota","Birds",FALSE
"806","ob_109842","2022",-98.5461,43.1515,FALSE,"Charles Mix County",NA,"South Dakota","Birds",FALSE
