"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"87","ob_111888","2022",-96.663,40.833,TRUE,"Nebraska",NA,"Nebraska","Ursus arctos",TRUE
"88","ob_111888","2022",-96.663,40.833,TRUE,"Nebraska",NA,"Nebraska","Puma concolor",TRUE
"89","ob_111888","2022",-96.663,40.833,TRUE,"Nebraska",NA,"Nebraska","Panthera tigris",TRUE
"90","ob_112344","2022",-111.3,47.508,TRUE,"Cascade County",NA,"Montana","Mephitis mephitis",TRUE
"91","ob_112345","2022",-114.31,48.188,TRUE,"Flathead County",NA,"Montana","Ursus arctos",TRUE
"92","ob_112841","2023",-117.429,47.666,TRUE,"Spokane County",NA,"Washington","Lynx rufus",TRUE
"93","ob_112842","2023",-89.382,43.072,TRUE,"Dane County",NA,"Wisconsin","Vulpes vulpes",TRUE
"94","ob_113158","2023",-108.208,43.647,TRUE,"Hot Springs County",NA,"Wyoming","Vulpes vulpes",TRUE
"95","ob_113159","2022",-121.573,39.524,TRUE,"Butte County",NA,"California","Lynx rufus",TRUE
"96","ob_113410","2023",-120.844,44.303,TRUE,"Crook County",NA,"Oregon","Mephitis mephitis",TRUE
"97","ob_113619","2022",-76.318,35.42,TRUE,"Hyde County",NA,"North Carolina","Ursus americanus",TRUE
"98","ob_113754","2022",-111.774,43.823,TRUE,"Madison County",NA,"Idaho","Vulpes vulpes",TRUE
"99","ob_113934","2022",-104.776,37.621,TRUE,"Huerfano County",NA,"Colorado","Ursus americanus",TRUE
"100","ob_113939","2023",-105.278,40.019,TRUE,"Boulder County",NA,"Colorado","Puma concolor",TRUE
"101","ob_113937","2022",-105.878,37.446,TRUE,"Alamosa County",NA,"Colorado","Vulpes vulpes",TRUE
"102","ob_113938","2023",-106.919,38.552,TRUE,"Gunnison County",NA,"Colorado","Puma concolor",TRUE
"103","ob_113936","2023",-104.611,38.276,TRUE,"Pueblo County",NA,"Colorado","Vulpes vulpes",TRUE
